Battletag,Paragon,Rank,Rift level,Time,Completed on
Slush#1874,1813,463,118,887183,2019-03-08
SpaceTwinkie#1907,1707,464,118,887299,2019-03-30
Executer#1613,1760,465,118,887366,2019-04-07
Erllun#1522,1709,466,118,887466,2019-02-11
firmsolace#1799,1584,467,118,887466,2019-03-02
bl00dyreject#1293,1538,468,118,887633,2019-04-02
Massuca#11473,2187,469,118,887699,2019-04-06
goblin#1288,1879,470,118,887733,2019-03-16
Flaild#1621,2083,471,118,888183,2019-04-05
夜偷香#3344,2118,472,118,888682,2019-03-30
Nanna#11109,1973,473,118,889365,2019-04-07
Hulken#11394,2146,474,118,889400,2019-03-02
Phoenix#1371,1487,475,118,889483,2019-03-24
ishy#1805,1553,476,118,889666,2019-02-11
Iceman#13208,3443,477,118,889816,2019-04-02
Maxxi#1708,2299,478,118,890316,2019-03-19
Legion#6401,1848,479,118,890783,2019-02-20
Vil#1725,1118,480,118,891332,2019-01-31
Im16#4281,2272,481,118,892149,2019-02-14
Boss#17534,2967,482,118,893049,2019-03-28
Equinox226#1306,1908,483,118,893799,2019-04-08
亡靈犬#41735,1975,484,118,895633,2019-02-10
CasualsHex#1352,1724,485,118,896116,2019-02-15
NicksonJean#1137,3122,486,118,896250,2019-03-27
Raining#1445,2062,487,118,896516,2019-04-03
MaleChicken#11177,1321,488,118,897383,2019-03-16
AZExiledQC#1105,1851,489,118,897466,2019-03-28
Grommash#1143,2479,490,118,898333,2019-03-19
Aaronic#1228,2404,491,118,898883,2019-02-22
BaBaYaGa#11428,3489,492,117,639516,2019-04-05
denass#1576,3153,493,117,660783,2019-03-30
DarkHeart#1580,2923,494,117,661550,2019-03-15
hellbinder#1592,2453,495,117,667133,2019-03-28
XXSPDrXX#1980,1906,496,117,669850,2019-02-23
l0rdcut#6551,3848,497,117,672566,2019-04-06
JondubeQC#1694,1659,498,117,715216,2019-04-06
MeatSkeet#1364,2816,499,117,722883,2019-04-02
ƁATHORY#1387,1426,500,117,723033,2019-03-31
somi#1770,1591,501,117,723200,2019-03-05
Dizease#1325,1787,502,117,728283,2019-02-25
Telesko#1931,1466,503,117,731200,2019-03-19
captaincbr#1677,1862,504,117,740816,2019-02-28
Lovecraft#1260,1922,505,117,747149,2019-04-05
Speco#1757,1284,506,117,747150,2019-02-02
Revenge#12155,2463,507,117,747266,2019-02-24
MusTTanG#1886,2250,508,117,747866,2019-03-30
MOMO#15529,1405,509,117,749283,2019-02-12
Armetisa#1317,2936,510,117,749733,2019-03-31
WhiteArmy#1726,2707,511,117,750666,2019-04-04
sdUnit#11895,3581,512,117,760083,2019-04-01
BrokenSword#1973,2854,513,117,760750,2019-03-31
fcomp18#1781,1550,514,117,762299,2019-03-10
Tyberyous#1482,1978,515,117,764300,2019-03-03
TimeWaster#1912,2117,516,117,764850,2019-03-30
Tricarix#1619,2453,517,117,765999,2019-03-15
Pizzle#1874,1682,518,117,765999,2019-03-27
EscaLayer#6547,1458,519,117,766366,2019-03-10
Vividos#11109,2213,520,117,768250,2019-03-06
zio#1246,1594,521,117,768416,2019-02-21
在此示範南部操作#4544,1974,522,117,771566,2019-02-20
BoneBreaker#11949,2829,523,117,772633,2019-04-08
Andrea#1274,2476,524,117,772949,2019-04-06
CragHack#1302,1690,525,117,773083,2019-03-16
Soldier#1666,2332,526,117,777549,2019-03-29
BrightHammer#13770,1765,527,117,780483,2019-03-25
ESTIVADOR#11202,1821,528,117,785750,2019-03-12
仲夏星玥#4571,2176,529,117,786716,2019-03-16
Drazin#11208,3043,530,117,787132,2019-03-30
Hoblin#1659,1414,531,117,789949,2019-03-07
Pali#1521,1969,532,117,792050,2019-03-30
Garou#11888,1543,533,117,792650,2019-03-25
Magikkamann#1542,2728,534,117,793483,2019-03-11
GhostAgent#1499,2066,535,117,793783,2019-03-07
Snoochey#1796,2284,536,117,793950,2019-03-19
